"codigo_origem";"descricao_original";"unidade_origem";"produto_canonico";"marca";"categoria";"nome_variante";"unidade_canonica";"atributos"
"goevo:004376";"SACO PARAF ACO";"UN";"Parafuso Aco";"";"Fixacao";"Padrao";"UN";""
"goevo:004377";"BROCA PARA MADEIRA";"UN";"Broca para Madeira";"";"Ferramentas";"Padrao";"UN";""
"goevo:004378";"RESPIRADOR DESCARTAVEL";"UN";"Respirador Descartavel";"";"EPI";"Padrao";"UN";""
"goevo:004379";"TAPA PARAFUSO";"UN";"Tampa Tapa Parafuso";"";"Acabamento";"Padrao";"UN";""
"goevo:004380";"CADEIRA LEDA NUDE COD. 36504712";"UN";"Cadeira Leda";"";"Mobiliario";"Nude 36504712";"UN";"Cor=Nude | Codigo=36504712"
"goevo:004381";"SOFA MODULAR TECIDO ASTURIAS";"UN";"Sofa Modular Tecido Asturias";"";"Mobiliario";"Padrao";"UN";""
"goevo:004382";"TAMPA PISO UNHA DUPLA";"UN";"Tampa Piso Unha Dupla";"";"Eletrica";"Padrao";"UN";""
"goevo:004383";"PROLONGADOR LATAO 1/2 NPT";"UN";"Prolongador Latao NPT";"";"Hidraulica";"1/2"" Latao";"UN";"Bitola=1/2"" | Material=Latao"
"goevo:004384";"SERVIÇO DE LIMPEZA";"UN";"Serviço de Limpeza";"";"Serviços";"Padrao";"UN";""
"goevo:004385";"CINTURAO PARAQ.5PONTOS ABDOM.";"UN";"Cinturao Paraquedista 5 Pontos Abdominal";"";"EPI";"5 Pontos Abdominal";"UN";"Pontos=5 | Tipo=Abdominal"
"goevo:004386";"TALABARTE Y C/ABSORVEDOR 55MM";"UN";"Talabarte Y com Absorvedor";"";"EPI";"Y 55 mm";"UN";"Largura=55 mm | Tipo=Y"
"goevo:004387";"PLACA DE SINALIZAÇÃO";"UN";"Placa de Sinalizacao";"";"Sinalizacao";"Padrao";"UN";""
"goevo:004388";"VENTILADOR DE COLUNA";"UN";"Ventilador de Coluna";"";"Climatizacao";"Padrao";"UN";""
"goevo:004389";"MODULOS IP55 COM TAMPA E MEMBRANA";"UN";"Caixa Kalop 2 Módulos IP55 com Tampa";"";"Eletrica";"IP55 com Tampa e Membrana";"UN";"IP=IP55"
"goevo:004390";"ESCOVA 14X20 3M";"UN";"Escova 3M";"3M";"Limpeza";"14 x 20";"UN";"Dimensao=14 x 20"
"goevo:004391";"PERFILADO PERF.38X38X3000 CHAPA 24";"UN";"Perfilado Perfurado";"";"Eletrica";"38x38 mm 3000 mm #24";"UN";"Dimensao=38x38 mm | Comprimento=3000 mm | Numero=#24"
"goevo:004392";"MADEIRITE";"UN";"Madeirite";"";"Madeira";"Padrão";"UN";""
"goevo:004393";"SARRAFO 10 X 3 MT";"UN";"Sarrafo";"";"Madeira";"10 cm 3 m";"UN";"Dimensão=10 cm | Comprimento=3 m"
"goevo:004394";"CORAL RENDE MUITO BRANCO 20L";"UN";"Tinta Rende Muito Coral";"Coral";"Pintura";"Branco 20 L";"UN";"Cor=Branco | Capacidade=20 L"
"goevo:004395";"ESSENZ HIGIENICO INTER FD 2D 1200 FLS";"UN";"Papel Higienico Interfolhado Essenz";"Essenz";"Higiene";"Folha Dupla 1200 fls";"UN";"Tipo=Folha Dupla | Quantidade=1200 folhas"
"goevo:004396";"ESSENZ BASIC TOALHA INTER FS 2D 2000 FLS";"UN";"Toalha Essenz Basic";"Essenz";"Higiene";"Interfolhada FS 2D 2000 fls";"UN";"Tipo=Interfolhada Folha Simples | Quantidade=2000 folhas"
"goevo:004397";"DOBRADIÇA";"UN";"Dobradiça";"";"Ferragem";"Padrão";"UN";""
"goevo:004398";"CABO ACO ALMA FIBRA 6X7 1/4";"UN";"Cabo de Aco Alma Fibra";"";"Fixacao";"6x7 1/4""";"UN";"Construção=6x7 | Diâmetro=1/4"""
"goevo:004399";"CONECTOR VIDEO BALUN CAMERAS";"UN";"Conector Balun";"";"Eletrica";"Para Cameras";"UN";"Aplicação=Cameras"
"goevo:004400";"ESSEXZ SABONETE EM ESPUMA VERBENA";"UN";"Sabonete em Espuma Verbena Essenz";"Essenz";"Higiene";"Verbena";"UN";"Fragancia=Verbena"
"goevo:004401";"SABONETE EM ESPUMA VERBENA";"UN";"Sabonete em Espuma Verbena";"";"Higiene";"Verbena";"UN";"Fragancia=Verbena"
"goevo:004402";"SENSOR PRESENCA BIV 110' 4X2 LESP4000XC TOUCH TDS LAMP - EXATRON";"UN";"Sensor Presenca Teto 360° Exatron";"Exatron";"Eletrica";"LESP4000XC Bivolt 110° 4x2";"UN";"Modelo=LESP4000XC | Voltagem=Bivolt | Alcance=110° | Fixação=4x2"
"goevo:004403";"BUCHA NYLON";"UN";"Bucha para Alvenaria";"";"Fixacao";"Padrão";"UN";""
"goevo:004404";"CACAMBA PARA PINTURA 11L";"UN";"Caçamba para Pintura";"";"Pintura";"11 L";"UN";"Capacidade=11 L"
"goevo:004405";"TERMINAL COMPRESSAO 240MM 1F-1C M12 CB FLEX 631551";"UN";"Terminal Compressao";"";"Eletrica";"240 mm 1F-1C M12";"UN";"Bitola=240 mm | Configuração=1F-1C M12 | Modelo=CB Flex 631551"
"goevo:004406";"LUVA COMPRESSAO 95MM CB FLEX 641150";"UN";"Luva Compressao";"";"Eletrica";"95 mm CB Flex 641150";"UN";"Bitola=95 mm | Modelo=CB Flex 641150"
"goevo:004407";"CAPS ESGOTO";"UN";"Cap Esgoto Tigre";"Tigre";"Hidraulica";"Padrão";"UN";""
"goevo:004408";"FITA DEMARC 48X14";"UN";"Fita Demarcação Zebrada";"";"Seguranca";"48 mm 14 m";"UN";"Largura=48 mm | Comprimento=14 m"
"goevo:004409";"MATAJUNTA 20X10";"UN";"Mata Junta";"";"Acabamento";"20x10 mm";"UN";"Dimensão=20x10 mm"
"goevo:004410";"RALINHO 2X1";"UN";"Ralinho";"";"Hidraulica";"2x1";"UN";"Dimensão=2x1"
"goevo:004411";"FITA BORDO";"UN";"Fita Bordo";"";"Acabamento";"Padrão";"UN";""
"goevo:004412";"SERVIÇO DE MANUTENÇÃO ELETRICO";"UN";"Serviço de Manutenção Elétrica";"";"Serviços";"Padrão";"UN";""
"goevo:004413";"GATILHO PULVERIZADOR ECOLAB";"UN";"Gatilho Pulverizador";"";"Limpeza";"Ecolab";"UN";"Marca=Ecolab"
"goevo:004414";"TINTA PARA PISO 18L CORAL CINZA ESCURO";"UN";"Tinta Interlight";"Interlight";"Pintura";"Coral Cinza Escuro 18 L";"UN";"Marca=Coral"
"goevo:004415";"LAVADORA DE ALTA PRESSAO";"UN";"Lavadora de Alta Pressao Ultra Wash";"Ultra Wash";"Equipamentos";"Padrão";"UN";""
"goevo:004416";"FILTRO AR";"UN";"Filtro de Ar";"";"Ventilacao";"Padrão";"UN";""
"goevo:004417";"FORRO DE GESSO ACARTONADO";"UN";"Forro de Gesso Acartonado";"";"Forro";"Padrão";"UN";""
"goevo:004418";"CREOLINA PEARSON";"UN";"Creolina Pearson";"Pearson";"Limpeza";"Padrão";"UN";""
"goevo:004419";"LUMINARIA SOBREPOR";"UN";"Luminaria Sobrepor";"";"Iluminacao";"Padrão";"UN";""
"goevo:004420";"CABO EPR 1KV-FLEX 90G 70,00MM AZ";"UN";"Cabo EPR Flexível 1KV 90°C";"";"Eletrica";"70 mm² Azul";"UN";"Bitola=70 mm² | Cor=Azul"
"goevo:004421";"CABO EPR 1KV-FLEX 90G 50,00MM VD";"UN";"Cabo EPR Flexível 1KV 90°C";"";"Eletrica";"50 mm² Verde";"UN";"Bitola=50 mm² | Cor=Verde"
"goevo:004422";"CABO EPR 1KV-FLEX 90G 70,00MM PT";"UN";"Cabo EPR Flexível 1KV 90°C";"";"Eletrica";"70 mm² Preto";"UN";"Bitola=70 mm² | Cor=Preto"
"goevo:004423";"TERMINAL COMPRESSAO";"UN";"Terminal Compressao";"";"Eletrica";"Padrao";"UN";""
"goevo:004424";"TUBO CORRUGADO 3 CZ DN90 KANADUTO SW";"UN";"Tubo Corrugado Reforçado Kanaduto";"Kanaduto";"Eletrica";"DN90 3 Camadas SW";"UN";"Diametro=DN90 | Numero Camadas=3 | Modelo=SW"
"goevo:004425";"NOVACOR PAREDE PRO FOSCO BRANCO 18L";"UN";"Tinta Latex Parede Pro Fosco Novacor";"Novacor";"Pintura";"Branco Fosco 18 L";"UN";"Cor=Branco | Capacidade=18 L | Acabamento=Fosco"
"goevo:004426";"ATLAS GARFO GAIOLA 5 ARAMES PARA PINTURA 23CM";"UN";"Garfo Gaiola para Rolo Atlas";"Atlas";"Pintura";"23 cm 5 Arames";"UN";"Largura=23 cm | Arames=5"
"goevo:004427";"ROLO ATLAS DE TEXTURA RUSTICA 23CM";"UN";"Rolo Textura Rustica Atlas";"Atlas";"Pintura";"23 cm";"UN";"Largura=23 cm"
"goevo:004428";"PROLONGADOR ATLAS 2M";"UN";"Prolongador para Rolo Atlas";"Atlas";"Pintura";"2 m";"UN";"Comprimento=2 m"
"goevo:004429";"LONA PLASTICA PLASITAP 4X100 PRETA";"UN";"Lona Plastica Preta";"";"Embalagem";"Preta 4 x 100 m";"UN";"Dimensao=4 x 100 m | Cor=Preta"
"goevo:004430";"SHERWIN NOVACOR GESSO 18L";"UN";"Tinta para Gesso Novacor";"Novacor";"Pintura";"18 L";"UN";"Capacidade=18 L"
"goevo:004431";"BUCHA COM ANEL 6MM";"UN";"Bucha com Anel";"";"Fixacao";"6 mm";"UN";"Diametro=6 mm"
"goevo:004432";"BROCA SDS TWISTER - 6 X110MM";"UN";"Broca SDS Twister";"";"Ferramentas";"6 mm 110 mm";"UN";"Diametro=6 mm | Comprimento=110 mm"
"goevo:004433";"TIGRE TRINCHA 500 X 3/4 SIMPLES";"UN";"Trincha Simples Tigre";"Tigre";"Pintura";"500 3/4""";"UN";"Modelo=500 | Bitola=3/4"""
"goevo:004434";"TRINCHA PARA PINTURA 1";"UN";"Trincha para Pintura";"";"Pintura";"1""";"UN";"Largura=1"""
"goevo:004435";"CORAL GRAFITE CINZA ESCURO 3,6L";"UN";"Esmalte Sintetico Grafite Coral";"Coral";"Pintura";"Cinza Escuro 3,6 L";"UN";"Cor=Cinza Escuro | Capacidade=3,6 L"
"goevo:004436";"TRINCHA PARA PINTURA 1 1/2";"UN";"Trincha para Pintura";"";"Pintura";"1 1/2""";"UN";"Largura=1 1/2"""
"goevo:004437";"ROLO DE PINTURA DE ESPUMA AMARELO 5CM REF. 406/5A";"UN";"Rolo Espuma Atlas";"Atlas";"Pintura";"Amarelo 5 cm";"UN";"Cor=Amarelo | Largura=5 cm"
"goevo:004438";"MESA ESTILO INDUSTRIAL";"UN";"Mesa Estilo Industrial";"";"Mobiliario";"Padrao";"UN";""
"goevo:004439";"VASO SANITARIO P/ CAIXA ACOPLADA PCD CONF. NORMA NBR 9050";"UN";"Vaso Sanitario PCD com Caixa Acoplada NBR 9050";"";"Hidraulica";"PCD NBR 9050";"UN";"Norma=NBR 9050 | Tipo=PCD"
"goevo:004440";"SERVIÇO DE INSTALAÇÃO DE FORRO ACARTONADO";"UN";"Serviço de Instalação de Forro Acartonado";"";"Serviços";"Padrao";"UN";""
"goevo:004441";"SENSOR PRESENCA TETO MICROCONT INRSH CONTROL COM DIPLESTNIDP";"UN";"Sensor Presenca Teto Microcontrolado Inrsh Control";"Inrsh Control";"Eletrica";"LESTNIDP Com DIP";"UN";"Modelo=LESTNIDP | Observacao=Com DIP"
"goevo:004442";"LIMPA VIDRO";"UN";"Limpa Vidro";"";"Limpeza";"Padrao";"UN";""
"goevo:004443";"VEDA POEIRA PROTEGE PORTA CHUVA INSETOS CADEIRINHA";"UN";"Veda Porta Cadeirinha";"";"Ferragem";"Cadeirinha";"UN";"Tipo=Cadeirinha"
"goevo:004444";"ESTUDO DE VIABILIDADE TECNICA LEGAL";"UN";"Estudo de Viabilidade Tecnica Legal";"";"Serviços";"Padrao";"UN";""
"goevo:004445";"PROTETOR SILICONE PROTEGE PAREDE PORTA";"UN";"Protetor Generico";"";"Acessorios";"Silicone Parede Porta";"UN";"Material=Silicone | Aplicacao=Parede Porta"
"goevo:004446";"JUMBO / ACIMA DE 3,21MM";"UN";"Jumbo";"";"Diversos";"Acima 3,21 mm";"UN";"Tamanho=Acima de 3,21 mm"
"goevo:004447";"DISCO ABRASIVO CORTE 115X1";"UN";"Disco de Corte Abrasivo";"";"Ferramentas";"115 mm 1 mm";"UN";"Diametro=115 mm (4 1/2"") | Espessura=1 mm"
"goevo:004448";"CHAPA TESTA PARA FECHADURA";"UN";"Chapa Testa para Fechadura";"";"Ferragem";"Padrao";"UN";""
"goevo:004449";"FONTE DE ENERGIA ESTABILIZADA";"UN";"Fonte Chaveada Estabilizada";"";"Eletrica";"Padrao";"UN";""
"goevo:004450";"ALICATE CLIPADOR";"UN";"Alicate Clipador";"";"Ferramentas";"Padrao";"UN";""
"goevo:004451";"DESEMPENADEIRA PVC 17X30 BRANCA LISA";"UN";"Desempenadeira PVC Lisa";"";"Ferramentas";"Branca 17 x 30 cm";"UN";"Dimensao=17 x 30 cm | Cor=Branca | Material=PVC | Acabamento=Lisa"
"goevo:004452";"REGUA DE PATRONO - PISO SPC 4 MM";"UN";"Regua de Patrono para Piso SPC";"";"Revestimento";"4 mm";"UN";"Espessura=4 mm"
"goevo:004453";"TUBO GALVANIZADO 1/2 3 METROS";"UN";"Tubo Galvanizado";"";"Hidraulica";"1/2"" 3 m";"UN";"Bitola=1/2"" | Comprimento=3 m"
"goevo:004454";"COBERTURA EM LONA";"UN";"Cobertura em Lona";"";"Cobertura";"Padrao";"UN";""
"goevo:004455";"RUFO";"UN";"Rufo Tipo Capa";"";"Acabamento";"Padrao";"UN";""
"goevo:004456";"FECHAMENTOS FIXOS";"UN";"Fechamento Fixo";"";"Estrutura";"Padrao";"UN";""
"goevo:004457";"FABRICAÇÃO E INSTALAÇÃO DE CORTINAS ROLÔ";"UN";"Cortina Rolo";"";"Acabamento";"Sob Medida";"UN";"Observacao=Fabricacao e Instalacao"
"goevo:004458";"VK BOMBA VACUO VLOK 12 CFM";"UN";"Bomba de Vacuo VLOK";"VLOK";"Equipamentos";"12 CFM";"UN";"Capacidade=12 CFM"
"goevo:004459";"GT CORTADOR TUBO GT274";"UN";"Cortador de Tubo GT274";"GT";"Ferramentas";"GT274";"UN";"Modelo=GT274"
"goevo:004460";"CANO COBRE RIGIDO 7/8 ESPECIAL AC. 1/32";"UN";"Cano Cobre Rigido Especial AC";"";"Hidraulica";"7/8"" 1/32""";"UN";"Bitola=7/8"" | Espessura=1/32"""
"goevo:004461";"PARAFUSO/FURAD BAT 12";"UN";"Furadeira Parafusadeira a Bateria Vonder";"Vonder";"Ferramentas";"Padrao";"UN";""
"goevo:004462";"JG ESCOVA CARVAO DEWAL";"UN";"Jogo Escova Carvao Dewalt";"Dewalt";"Ferramentas";"Padrao";"UN";""
"goevo:004463";"CORAL CORALIT ULTRA RESISTENCIA BRILHANTE VERMELHO 3,6L";"UN";"Esmalte Sintetico Coralit Ultra Resistencia";"Coralit";"Pintura";"Vermelho Brilhante 3,6 L";"UN";"Cor=Vermelho | Acabamento=Brilhante | Capacidade=3,6 L"
"goevo:004464";"TRINCO PRESSAO";"UN";"Trinco Pressao";"";"Ferragem";"Padrao";"UN";""
"goevo:004465";"VISITA TECNICA PARA EMISSÃO DE LAUDO ELEVADOR";"UN";"Visita Tecnica Laudo Elevador";"";"Servico";"Padrao";"UN";""
"goevo:004466";"PAINEL CIMENTICIO SEM REB 6X1200X2400MM";"UN";"Painel Cimenticio Sem Revestimento";"";"Chapas e Paineis";"6 mm 1200x2400 mm";"UN";"Espessura=6 mm | Dimensao=1200x2400 mm"
"goevo:004467";"CUBA AP QUAD Q6 35CM";"UN";"Cuba de Apoio Quadrada Q6";"";"Hidraulica";"35 cm";"UN";"Dimensao=35 cm"
"goevo:004468";"CANOPLA DE ACABAMENTO PARA FLEXIVEIS";"UN";"Canopla de Acabamento para Flexiveis";"";"Hidraulica";"Padrao";"UN";""
"goevo:004469";"CORDAO DE NATAL";"UN";"Cordao de Natal";"";"Decoracao";"Padrao";"UN";""
"goevo:004470";"FECHADURA EM METAL";"UN";"Fechadura em Metal";"";"Ferragem";"Padrao";"UN";""
"goevo:004471";"COMPOUND OTTO BAUMGART ADESIVO LATA 1KG";"UN";"Adesivo Compound Otto Baumgart";"Otto Baumgart";"Adesivos";"1 kg Lata";"UN";"Peso=1 kg | Embalagem=Lata"
"goevo:004472";"PROLONGADOR SEX 1/4 X 50 ZB";"UN";"Prolongador para Suspensao";"";"Fixacao";"1/4"" 50 mm";"UN";"Bitola=1/4"" | Comprimento=50 mm"
"goevo:004473";"TAMPA P TUBO QUADRADO 50X50 PT";"UN";"Tampa Plastica para Tubo Quadrado";"";"Acabamento";"50x50 mm Preto";"UN";"Dimensao=50x50 mm | Cor=Preto"
"goevo:004474";"CABO EXTENSOR 3 METROS";"UN";"Cabo Extensor";"";"Eletrica";"3 m";"UN";"Comprimento=3 m"
"goevo:004475";"PLACA CONDULET ALUM POLIDO 3/4";"UN";"Placa Condulet Aluminio Polido";"";"Eletrica";"3/4""";"UN";"Bitola=3/4"""
"goevo:004476";"CONECTOR RJ45 FEMEA CAT.5E BR T568A/B B";"UN";"Conector RJ45 Femea CAT5E";"";"Informatica";"CAT5E Branco T568A/B";"UN";"Tipo=CAT5E | Padrao=T568A/B | Cor=Branco"
"goevo:004477";"CAPA PARA CADEIRA EIFFEL SPANDEX";"UN";"Capa para Cadeira Eiffel Spandex";"";"Acabamento";"Padrao";"UN";""
"goevo:004478";"ASSENTO POLIPROPILENO LOUÇAS CARRARA";"UN";"Assento Sanitario Polipropileno Carrara";"Carrara";"Hidraulica";"Padrao";"UN";""
"goevo:004479";"TOMADA PARA MOVEIS";"UN";"Tomada para Moveis";"";"Eletrica";"Padrao";"UN";""
"goevo:004480";"BATENTE DE TAURI 2100X1000MM";"UN";"Batente Tauari";"";"Acabamento";"2100x1000 mm";"UN";"Dimensao=2100x1000 mm"
"goevo:004481";"DISCO SOLIDO INTERNO KINGSTON SA400S37/960G 1TB";"UN";"Disco Solido Interno Kingston";"Kingston";"Informatica";"960 GB SA400S37/960G";"UN";"Capacidade=960 GB | Modelo=SA400S37/960G"
"goevo:004482";"LIMPA PEDRAS PEDREX";"UN";"Limpa Pedras Pedrex";"Pedrex";"Limpeza";"Padrão";"UN";""
"goevo:004483";"PASTILHA DE CLORO";"UN";"Pastilha Sanitaria Adesiva";"";"Limpeza";"Padrão";"UN";""
"goevo:004484";"PORTA MESCLA";"UN";"Porta Mescla";"";"Acabamento";"Padrão";"UN";""
"goevo:004485";"SAPATAS BAIXA";"UN";"Sapatas Baixa";"";"Fixacao";"Padrão";"UN";""
"goevo:004486";"TOALHA INTER FS";"UN";"Papel Toalha Interfolhado Folha Simples";"";"Higiene";"Folha Simples";"UN";"Tipo=Folha Simples"
"goevo:004487";"LUNES DISPENSER HIGIENICO INTERFOLHAS";"UN";"Dispenser Higienico Interfolhas Lunes";"Lunes";"Utensilios";"Padrão";"UN";""
"goevo:004488";"LUNES DISPENSER PARA SAQUINHO";"UN";"Dispenser para Saquinho Lunes";"Lunes";"Utensilios";"Padrão";"UN";""
"goevo:004489";"LUNES DISPENSER PARA SABONETE ESPUMA";"UN";"Dispenser para Sabonete Espuma Lunes";"Lunes";"Utensilios";"Padrão";"UN";""
"goevo:004490";"LUNES DISPENSER TOALHA INTER FOLHAS";"UN";"Dispenser Toalha Interfolhas Lunes";"Lunes";"Utensilios";"Padrão";"UN";""
"goevo:004491";"RALOS ANTI-ESPUMA";"UN";"Ralo Anti-Espuma";"";"Hidraulica";"Padrão";"UN";""
"goevo:004492";"AMORTECEDOR";"UN";"Amortecedor de Porta";"";"Ferragem";"Padrão";"UN";""
"goevo:004493";"COND. MINI 07HP 4TVH0060B1000AA TVR II 220V Q/F - TRANE";"UN";"Condensadora Mini Trane";"Trane";"Ar Condicionado";"7 HP 220V Q/F";"UN";"Capacidade=7 HP | Modelo=4TVH0060B1000AA | Voltagem=220 V | Tipo=Q/F"
"goevo:004494";"EVAP. DT 4TVD0024EF000AA MP - TRANE";"UN";"Evaporadora DT Trane";"Trane";"Ar Condicionado";"MP";"UN";"Modelo=4TVD0024EF000AA | Tipo=MP"
"goevo:004495";"CONTROLE TCONTRM02WAD - TRANE";"UN";"Controle Remoto Trane";"Trane";"Climatizacao";"TCONTRM02WAD";"UN";"Modelo=TCONTRM02WAD"
"goevo:004496";"PISO JURUTU 4MM";"UN";"Piso Jurutu";"";"Revestimento";"4 mm";"UN";"Espessura=4 mm"
"goevo:004497";"LUMINARIA LED SPOT DIRECIONAVEL 3W 6500K QUADRADA";"UN";"Luminaria LED Spot Direcionavel Quadrada";"";"Iluminacao";"3W 6500K";"UN";"Potencia=3 W | Temperatura=6500K"
"goevo:004498";"FITA ADESIVA 48MMX45M";"UN";"Fita para Empacotamento Adelbras";"Adelbras";"Escritorio";"48 mm 45 m";"UN";"Largura=48 mm | Comprimento=45 m | Cor=Transparente"
"goevo:004499";"CHURRAS GAS 3 QUEIMADORES ALTON NATERIAL";"UN";"Churrasqueira a Gas Alton Naterial";"Naterial";"Utensilios";"3 Queimadores";"UN";"Queimadores=3 | Modelo=Alton"
"goevo:004500";"PRESILHA JACARE CLIP FITA LEITOSA CRACHA";"UN";"Presilha Jacare Clip Fita Leitosa Cracha";"";"Escritorio";"Padrão";"UN";""
"goevo:004501";"CABO FLEX HEPR ATOX 1 X 95MM2 - 0,6/1KV - AZ CL";"UN";"Cabo HEPR Atox Flexivel 0,6/1KV";"";"Eletrica";"95 mm² Classe 5 Azul";"UN";"Bitola=1 x 95 mm² | Classe=5 | Cor=Azul"
"goevo:004502";"CABO FLEX HEPR ATOX 1 X 70MM2 - 0,6/1KV - AZ CL";"UN";"Cabo HEPR Atox Flexivel 0,6/1KV";"";"Eletrica";"70 mm² Classe 5 Azul";"UN";"Bitola=1 x 70 mm² | Classe=5 | Cor=Azul"
"goevo:004503";"CABO FLEX HEPR ATOX 1 X 50MM2 - 0,6/1KV - AZ CL";"UN";"Cabo HEPR Atox Flexivel 0,6/1KV";"";"Eletrica";"50 mm² Classe 5 Azul";"UN";"Bitola=1 x 50 mm² | Classe=5 | Cor=Azul"
"goevo:004504";"CABO FLEX HEPR ATOX 1 X 50MM2 - 0,6/1KV - VD";"UN";"Cabo HEPR Atox Flexivel 0,6/1KV";"";"Eletrica";"50 mm² Classe 5 Verde";"UN";"Bitola=1 x 50 mm² | Classe=5 | Cor=Verde"
"goevo:004505";"CONVERSOR TRANSFORMADOR";"UN";"Conversor Transformador";"";"Eletrica";"Padrão";"UN";""
"goevo:004506";"COLAGEM MARCENEIRO";"UN";"Cola para Marceneiro";"";"Adesivos";"Padrão";"UN";""
"goevo:004507";"CONECTOR SPLIT BOLT 95MM";"UN";"Conector Split Bolt KS Fendido";"";"Eletrica";"95 mm";"UN";"Bitola=95 mm"
"goevo:004508";"CONECTOR SPLIT BOLT 50MM";"UN";"Conector Split Bolt KS Fendido";"";"Eletrica";"50 mm";"UN";"Bitola=50 mm"
"goevo:004509";"CONECTOR SPLIT BOLT 120MM";"UN";"Conector Split Bolt KS Fendido";"";"Eletrica";"120 mm";"UN";"Bitola=120 mm"
"goevo:004510";"FITA ISOLANTE LIQUIDA PT BD1 - LAT 200ML";"UN";"Fita Isolante Liquida";"";"Eletrica";"Preto 200 ml";"UN";"Cor=Preto | Capacidade=200 ml | Modelo=BD1"
"goevo:004511";"PROTETOR DE QUINA";"UN";"Protetor de Quina";"";"Seguranca";"Padrão";"UN";""
"goevo:004512";"TORNEIRA LAVAT";"UN";"Torneira de Parede";"";"Hidraulica";"Padrão";"UN";""
"goevo:004513";"ANTENA DIGITAL";"UN";"Antena Digital";"";"Eletronica";"Padrão";"UN";""
"goevo:004514";"FONTE DE ALIMENTACAO";"UN";"Fonte de Alimentação";"";"Eletrica";"Padrão";"UN";""
"goevo:004515";"CAIXA URNA COFRE SUGESTÕES COM FECHO PARA CADEADO MDF CRU";"UN";"Caixa Urna Cofre para Sugestões com Fecho para Cadeado";"";"Mobiliario";"MDF Cru";"UN";"Material=MDF Cru"
"goevo:004516";"CAIXA DE ÁGUA 500L POLIETILENO TAMPA ROSCA BEGE - GRUPO FORT";"UN";"Caixa de Água Polietileno com Tampa Rosca Grupo Fort";"Grupo Fort";"Hidraulica";"500 L Bege";"UN";"Capacidade=500 L | Cor=Bege"
"goevo:004517";"PRESTAÇÃO DE SERVIÇO DE CHAVEIROS";"UN";"Serviço de Chaveiro";"";"Serviços";"Padrão";"UN";""
"goevo:004518";"ANEL COMUM 75MM";"UN";"Anel Comum Tigre";"Tigre";"Hidraulica";"75 mm";"UN";"Diametro=75 mm"
"goevo:004519";"BARRAMENTO NEUTRO 16 POLOS";"UN";"Barramento Neutro";"";"Eletrica";"16 Polos";"UN";"Polos=16"
"goevo:004520";"ANEL COMUM 75MM 3";"UN";"Anel Comum Tigre";"Tigre";"Hidraulica";"75 mm";"UN";"Diametro=75 mm"
"goevo:004521";"BARRAMENTO NEUTRO 16 POLOS F LINE";"UN";"Barramento Neutro F Line";"F Line";"Eletrica";"16 Polos";"UN";"Polos=16"
"goevo:004522";"ENGATE FLEXIVEL 40CM";"UN";"Engate Flexível";"";"Hidraulica";"40 cm";"UN";"Comprimento=40 cm"
"goevo:004523";"KIT FORMAO";"UN";"Kit Formão";"";"Ferramentas";"Padrão";"UN";""
"goevo:004524";"TORNEIRA PIA BM PAR C37";"UN";"Torneira para Pia Parede BM";"";"Hidraulica";"C37";"UN";"Modelo=C37"
"goevo:004525";"TUBO COBRE CLASSE E 22MM";"UN";"Tubo de Cobre Classe E";"";"Hidraulica";"22 mm";"UN";"Diametro=22 mm"
"goevo:004526";"CORTINAS BALCÃO";"UN";"Cortina para Balcão";"";"Acabamento";"Padrão";"UN";""
"goevo:004527";"PAINEL PAFLON DE LED EMBUTIR 17X17 CM QUADRADO 12W 6500K";"UN";"Painel Plafon LED Embutir Quadrado";"";"Iluminacao";"17x17 cm 12 W 6500K";"UN";"Dimensao=17x17 cm | Potencia=12 W | Temperatura=6500K"
"goevo:004528";"COLA DE PAPEL DE PAREDE";"UN";"Cola para Papel de Parede";"";"Adesivos";"Padrão";"UN";""
"goevo:004529";"BALCÃO HORUS 1,60M";"UN";"Balcão Horus";"";"Mobiliario";"1,60 m";"UN";"Comprimento=1,60 m"
"goevo:004530";"BALCÃO HORUS 2,00M";"UN";"Balcão Horus";"";"Mobiliario";"2,00 m";"UN";"Comprimento=2,00 m"
"goevo:004531";"CORAL DIRETO NO GESSO BRANCO 18L";"UN";"Tinta Direto no Gesso Coral";"Coral";"Pintura";"Branco 18 L";"UN";"Cor=Branco | Capacidade=18 L"
"goevo:004532";"CURVA DE 45º";"UN";"Curva";"";"Hidraulica";"45°";"UN";"Angulo=45°"
"goevo:004533";"FORRO SCALA LAY-IN 625X1250X16MM";"UN";"Forro Scala Lay-In";"";"Forro";"625x1250 mm 16 mm";"UN";"Dimensao=625x1250 mm | Espessura=16 mm"
"goevo:004534";"SPOT EMB DIRIG RED LED 9W BIV 2700K 720LM BC LZ28082 ALUM - LYZ ILUMINACAO";"UN";"Spot LED Embutir Direcionavel Redondo Lyz Iluminacao";"Lyz Iluminacao";"Iluminacao";"9 W 2700K 720 lm Bivolt";"UN";"Potencia=9 W | Temperatura=2700K | Voltagem=Bivolt | Fluxo Luminoso=720 lm | Material=Aluminio | Modelo=LZ28082"
